game	card1	card2	card3	e60	e400	e1200	e2300	results
m401	99/12	97/43	97/32	94/75	95/65	92/58	94/58	
m402	99/12	97/46	97/36	98/30	98/35	96/44	95/42	-
m403	99/8	97/36	97/26	99/9	95/40	99/0	-	96/34
m404	99/7	97/32	97/26	96/48	94/57	91/68	82/94	-
m405	99/12	97/48	97/36	95/66	93/74	87/88	90/91	
m406	99/8	97/35	97/25	93/20	90/51	75/75	90/44	96/32
m407	99/8	97/30	97/24	96/52	97/45	96/57	43/100	96/40
m408	99/12	97/45	97/34	92/84	96/99	87/87	70/99	96/40
m409	99/8	97/34	98/25	98/21	97/27	93/50	94/47	
m410	99/8	97/34	97/28	86/73	96/52	91/68	93/62	-
m411	99/8	94/44	95/32	76/91	95/59	90/76	87/84	
m412	99/8	97/33	98/23	99/13	98/15	97/22	64/100	97/31
m413	99/8	97/39	97/27	98/25	94/74	95/68	95/69	
m414	99/12	97/43	97/33	95/28	95/62	90/78	65/100	97/39
m415	99/8	97/35	97/25	97/30	96/39	90/55	87/68	-
m416	99/7	97/40	97/28	95/39	97/67	97/60	77/86	-
m417	99/7	97/44	97/32	88/79	93/64	91/66	76/100	95/42
m418	99/5	97/35	97/24	98/26	98/32	98/29	98/29	-
m419	99/5	97/35	97/27	98/29	96/58	92/72	97/20	96/41
m420	99/5	97/31	97/25	99/11	95/37	96/38	96/36	
m421	99/5	97/35	97/26	97/30	97/49	93/55	95/50	
m422	99/5	97/36	97/27	96/47	95/70	95/72	96/66	-
m423	99/5	97/34	97/24	95/68	93/82	91/88	90/88	96/41
m424	99/5	97/34	97/25	75/100	93/72	91/75	71/100	-
m425	99/7	97/30	97/24	95/51	93/58	92/51	85/75	-
m426	99/7	97/38	97/30	98/28	97/57	92/68	65/100	96/35
m427	99/10	97/38	97/29	99/21	95/43	94/58	92/43	
m428	99/10	97/43	97/31	92/57	92/57	82/89	79/96	
m429	99/7	97/35	97/25	96/33	96/36	87/90	83/93	
m430	99/10	97/44	97/31	94/54	94/60	86/82	85/81	
m431	99/7	97/34	97/27	97/34	96/49	94/53	95/52	
m432	99/7	98/28	94/32	98/26	97/38	97/25	92/55	
m433	99/8	97/36	93/37	92/40	95/77	94/78	94/77	
m434	99/10	97/41	97/29	91/58	94/55	93/59	93/59	
m435	95/48	97/32	97/43	95/58	97/37	98/38	98/31	
m436	97/32	97/33	97/43	95/57	97/37	97/39	97/40	
m437	98/29	98/31	97/37	95/58	97/37	97/33	97/32	
m438	99/10	97/41	97/30	98/30	96/57	95/54	-	95/27
m439	99/7	97/28	97/24	94/51	85/93	82/95	82/94	
m440	99/7	97/32	97/25	94/56	93/62	94/58	90/70	
m441	99/7	97/33	97/27	96/30	93/85	93/83	92/84	
m442	99/8	98/27	97/25	-	-	-	-	
m443	99/8	97/32	97/25	89/62	85/69	95/50	72/100	97/32
m444	99/16	99/20	99/21	99/15	99/20	85/78	90/50	
m445	99/13	99/13	98/26	99/13	98/28	96/44	96/43	
m446	100/2	98/20	97/33	100/2	91/45	93/64	90/68	
m447	98/20	92/73	98/27	98/20	97/37	96/40	96/38	
m448	98/42	98/46	98/48	98/43	93/61	93/68	93/70	
m449	97/39	97/58	97/63	97/40	97/65	97/66	96/65	
m450	30/100	88/84	79/95	33/100	97/34	94/43	94/65	
m451	99/8	97/32	97/29	98/27	95/31	95/34	94/40	
m452	99/8	97/31	92/39	32/100	97/34	88/50	93/67	
m453	99/8	97/32	92/40	-	-	-	-	-
m454	99/8	97/31	92/39	38/100	97/34	87/51	92/67	
m455	99/7	97/34	97/26	98/18	96/45	96/23	-	95/28
m456	99/8	97/32	97/26	98/22	95/64	93/65	-	96/40
m457	95/33	97/38	98/31	95/35	97/40	96/45	98/30	69/67
m458	99/19	99/19	99/23	99/19	99/22	98/26	99/22	-
m459	99/8	97/32	97/28	-	-	-	-	
m460	99/8	97/32	97/28	98/28	99/16	74/98	66/100	69/67
m461	99/8	97/32	97/28	92/28	95/46	91/92	-	69/70
m462	99/8	97/32	97/28	98/27	97/29	96/30	97/30	-
m463	99/8	97/32	97/28	99/11	96/22	98/20	99/10	-
