# game	verdict	note (M31, PLAN.md 46)
m417	minor	M31 (cause C, the play FIXED, the water drawn): the early end was the SDK's quaternion bodies -- C_QUATMultiply / C_QUATNormalize / C_QUATInverse exist only as paired-single asm and were loud do-nothing stubs, so the raft's tilt quaternion never moved and the fall test read an uninitialised stack Qtrn; the solo fell on the first frame of play. Mario stands on the raft from +60 now and the module leaves at +2014 (the console's +2646: its timer ran out, the port's solo fell at ~+1700 -- the play). The water is the scalar-in-alpha fold (the foam texture's product carried in the unit's alpha, PLAN.md 46.3): a translucent blue over the star floor. Still not the console's: the foam-and-caustic ripple is the indirect warp (three GXSetTevIndWarp stages the port drops), and at +1200 a fan of thin light quads runs from the raft toward a tube (unread; snapshot m417-streaks-f016000).
m430	match	M31 (cause D, FIXED): the column was GXUnknownu16 -- the decomp's name for a bare u16 store into the write-gather pipe, which the sail and rope display lists use for every index (water.c:1151, player.c:1513); undeclared in the mirrored header it linked to an untyped stub, the lists recorded their GXBegin and nothing else, and the decoder read the heap after them as vertices. Declared and written now: both views show the sky, the parasails, the ropes and the wakes.
m428	match	M31: the rope's PSVECSubtract (249,216 calls a play: the segment-against-rock test's direction) and the hooks' GXProject were stubs until M31; the four gallery frames are byte-identical to M30's (ppmdiff 0.00000), so nothing this play reached changed. The port's --com4 pairs Mario with Peach where the console's pokes pair Mario with Luigi (type 2's groups fall on different players in the two harnesses), so the two ropes are the other way round; the play differs by the play.
m427	match	M31 control for GXProject (map.c:988, the lamp flares' screen positions were uninitialised until M31): byte-identical to the M30 frames at the four positions.
m435	minor	M31 (cause J FIXED, cause I read further): the result bubble names the player now -- the module inserts the name as MAKE_MESSID_PTR(character), a bank-0 message id of 0..7 the console's bare cast leaves an id and the port's tag turned into a pointer to page zero; portMessTag leaves a value below 0x1000 untagged. The pillar spheres: every lever (--nospot, --oldtev, --viewtexgen, --nohilite, --cpuxf, --oldsubmit --novar --nomultidraw, --noindexed) and --forceobj sphere1 with the cull, z test and alpha test off leave the sphere absent; its textures dump right (blue plasma, alpha 255), its GL emission is the drawlog's, its CPU-path positions are at the pillar top -- the fragments do not land; the next read is the transform (PLAN.md 46.4; snapshot m435-sphere-f015200).
m436	minor	as m435 (cause I): the pillar spheres; read further, not drawn. Cause J's name fix applies.
m437	minor	as m435 (cause I): the pillar spheres; read further, not drawn. Cause J's name fix applies.
m438	match	M31: fire.c's PSMTXTranspose (4,081,790 stub calls over the soak: the fire's normal matrix was garbage) is real now; the frames are the console's as before.
m405	minor	M31 control: unchanged by the day's levers; the caustic is still the indirect warp.
m401	match	M31 control: unchanged.
m416	match	M31 control: unchanged.
